circle, 1.25
145,37.338
-7.239, 14.478
-4.826, 14.478
-2.413, 14.478
0, 14.478
2.413, 14.478
4.826, 14.478
7.239, 14.478
-9.652, 12.065
-7.239, 12.065
-4.826, 12.065
-2.413, 12.065
0, 12.065
2.413, 12.065
4.826, 12.065
7.239, 12.065
9.652, 12.065
-12.065, 9.652
-9.652, 9.652
-7.239, 9.652
-4.826, 9.652
-2.413, 9.652
0, 9.652
2.413, 9.652
4.826, 9.652
7.239, 9.652
9.652, 9.652
12.065, 9.652
-14.478, 7.239
-12.065, 7.239
-9.652, 7.239
-7.239, 7.239
-4.826, 7.239
-2.413, 7.239
0, 7.239
2.413, 7.239
4.826, 7.239
7.239, 7.239
9.652, 7.239
12.065, 7.239
14.478, 7.239
-14.478, 4.826
-12.065, 4.826
-9.652, 4.826
-7.239, 4.826
-4.826, 4.826
-2.413, 4.826
0, 4.826
2.413, 4.826
4.826, 4.826
7.239, 4.826
9.652, 4.826
12.065, 4.826
14.478, 4.826
-14.478, 2.413
-12.065, 2.413
-9.652, 2.413
-7.239, 2.413
-4.826, 2.413
-2.413, 2.413
0, 2.413
2.413, 2.413
4.826, 2.413
7.239, 2.413
9.652, 2.413
12.065, 2.413
14.478, 2.413
-14.478, 0
-12.065, 0
-9.652, 0
-7.239, 0
-4.826, 0
-2.413, 0
0, 0
2.413, 0
4.826, 0
7.239, 0
9.652, 0
12.065, 0
14.478, 0
-14.478, -2.413
-12.065, -2.413
-9.652, -2.413
-7.239, -2.413
-4.826, -2.413
-2.413, -2.413
0, -2.413
2.413, -2.413
4.826, -2.413
7.239, -2.413
9.652, -2.413
12.065, -2.413
14.478, -2.413
-14.478, -4.826
-12.065, -4.826
-9.652, -4.826
-7.239, -4.826
-4.826, -4.826
-2.413, -4.826
0, -4.826
2.413, -4.826
4.826, -4.826
7.239, -4.826
9.652, -4.826
12.065, -4.826
14.478, -4.826
-14.478, -7.239
-12.065, -7.239
-9.652, -7.239
-7.239, -7.239
-4.826, -7.239
-2.413, -7.239
0, -7.239
2.413, -7.239
4.826, -7.239
7.239, -7.239
9.652, -7.239
12.065, -7.239
14.478, -7.239
-12.065, -9.652
-9.652, -9.652
-7.239, -9.652
-4.826, -9.652
-2.413, -9.652
0, -9.652
2.413, -9.652
4.826, -9.652
7.239, -9.652
9.652, -9.652
12.065, -9.652
-9.652, -12.065
-7.239, -12.065
-4.826, -12.065
-2.413, -12.065
0, -12.065
2.413, -12.065
4.826, -12.065
7.239, -12.065
9.652, -12.065
-7.239, -14.478
-4.826, -14.478
-2.413, -14.478
0, -14.478
2.413, -14.478
4.826, -14.478
7.239, -14.478
Note that the first number in this file is the number of holes or positions;
the second number is the diameter of the disk in mm.
The following pairs of numbers are the x,y positions of each hole, given in mm,
and expressed relative to the center of the disk.
Normal cartesian coordinates are used for the sign of x and y.
Commas between x and y are required.  The number of pairs must be equal to the number of holes, of course.
